搜尋詞,Rank,coupom,relevancy ,tf-idf,relevancy ,semantic_model,relevancy 
口罩,1,"SH 上好生醫 成人醫療防護口罩 未滅菌, 黑色, 50片, 1盒",2,"口罩 無紡布口罩 白色, 50件, 1個",2,可重複使用時尚口罩3入,2
口罩,2,"SH 上好生醫 成人平面醫療防護口罩 未滅菌, 青燕灰, 50片, 1盒",2,"透氣口罩3入組+口罩收納盒 白色, 1套",2,"成人用標準型口罩, 50入, 1盒, 黑色",2
口罩,3,"上好生醫 醫療防護口罩 未滅菌 17.5 x 9.5cm, 奶茶色, 50片, 1盒",2,"口罩 L號 50入 白色+攜帶式口罩 2入, 1套",2,"成人用標準型口罩, 50件, 2個, 黑色",2
口罩,4,"CSD 中衛 成人一級醫療口罩 17.5 x 9.5cm, 薄藍, 50片, 2盒",2,"口罩 L號 50入 黑色+攜帶式口罩 2入, 1套",2,"成人用平面口罩, 50入, 6個, 藍色",2
口罩,5,"MOTEX 摩戴舒 平面醫用口罩 外耳 未滅菌 L, 原色黑, 50入, 2盒",2,雙層棉口罩 L號 4入+口罩繩,2,"成人口罩, 米色, 30入, 1盒",2
口罩,6,"SH 上好生醫 成人醫療防護口罩 未滅菌, 黑色, 50片, 2盒",2,"口罩, 1盒, 50片",2,"成人拋棄式口罩 粉色, 1盒, 50片",2
口罩,7,"SH 上好生醫 成人平面醫療防護口罩 未滅菌, 純潔白, 50片, 2盒",2,"derma:cast 立體口罩 KF80 50入+口罩掛繩, 1套, 白色（口罩），隨機發貨（錶帶）",2,"3層成人口罩, 1件, 50個",2
口罩,8,"上好生醫 成人平面醫療防護口罩 17.5 x 9.5cm, 摩卡奶, 50片, 1盒",2,"口罩, 50張, 1盒, 黑色",2,"3重過濾防護口罩, 50入, 4個, 單品",2
口罩,9,"上好生醫 醫療防護口罩 未滅菌 17.5 x 9.5cm, 奶茶色, 50片, 2盒",2,"口罩 粉色, 1片, 50包",2,"3重過濾防護口罩, 50入, 2個, 單品",2
口罩,10,"SH 上好生醫 成人平面醫療防護口罩 未滅菌, 天空藍, 50片, 2盒",2,"口罩 藍色, 50張, 2個",2,"無紡布口罩面罩圓形全罩片 250p, 單色, 5個",2
洗衣精,1,"Attack 一匙靈 制菌超濃縮洗衣精 補充包, 1.9kg, 3包",2,"LiQ 濃縮洗衣精 直立式洗衣機專用, 2.7L, 1瓶",2,"茶樹莊園 超濃縮洗衣精補充包 天然抗菌, 1.5kg, 4包",2
洗衣精,2,"Attack 一匙靈 抗菌EX強力消臭洗衣精補充包, 1.5kg, 3包",2,"Beat White+ 洗衣精 一般洗衣機用, 4L, 1瓶",2,"茶樹莊園 超濃縮洗衣精 純淨消臭, 1.8kg, 5瓶",2
洗衣精,3,"妙管家 濃縮洗衣精 抗菌, 4000g, 4瓶",2,"Salrimbaekseo 洗衣精, 3L, 2瓶",2,"茶樹莊園 茶樹洗衣精組合包, 茶樹洗衣精2000g+茶樹洗衣精補充包1500g, 1組",2
洗衣精,4,"ARIEL 超濃縮抗菌洗衣精 室內晾衣型, 800g, 2瓶",2,"Beat 除蟎洗衣精 一般洗衣機專用, 3L, 1瓶",2,"茶樹莊園 超濃縮洗衣精 純淨消臭, 1.8kg, 3瓶",2
洗衣精,5,"白蘭 含熊寶貝馨香精華超濃縮洗衣精 補充包 質感小蒼蘭, 1.6kg, 2包",2,"白色衣物洗衣精 1000ml 白麝香, 1瓶",2,"茶樹莊園 超濃縮洗衣精補充包 天然抗菌, 1.5kg, 3包",2
洗衣精,6,"Attack 一匙靈 抗菌EX強力消臭洗衣精, 2.4kg, 2瓶",2,"Downy 藍色洗衣精, 3L, 1瓶",2,"妙管家 瞬洗衣精 洗淨病毒, 1.8kg, 5瓶",2
洗衣精,7,"Attack 一匙靈 抗菌EX強力消臭洗衣精補充包, 1.5kg, 6包",2,"Downy 藍色洗衣精, 3L, 2瓶",2,"茶樹莊園 茶樹天然濃縮酵素洗衣精 強效潔淨, 1.8kg, 6瓶",2
洗衣精,8,"Attack 一匙靈 抗菌EX洗衣精 極淨除垢, 2.4kg, 1瓶",2,"CANTO 洗衣精 1L, 1瓶",2,"茶樹莊園 茶樹超濃縮洗衣精補充包 防霉抗臭, 1.3kg, 6包",2
洗衣精,9,"Attack 一匙靈 抗菌EX防螨洗衣精 補充包, 1.5kg, 3包",2,"souldrops 洗衣精, 1L, 1瓶",2,"妙管家 濃縮亮彩洗衣精 小蒼蘭花香, 4kg, 2瓶",2
洗衣精,10,"妙管家 濃縮洗衣精 抗菌, 4000g, 8瓶",2,"Downy 藍色洗衣精, 3L, 3瓶",2,"茶樹莊園 茶樹天然濃縮酵素洗衣精 強效潔淨, 1.8kg, 1瓶",2
維他命,1,"大研生醫 綜合維他命緩釋膜衣錠, 60顆, 1罐",2,"naturalplus 維他命B50+維他命C錠, 90顆, 1罐",2,"維他命活力錠, 60顆, 1盒",2
維他命,2,"DHC 台灣公司貨 維他命C+B2 30日份, 60顆, 1包",2,"naturalplus 維他命B50+維他命C錠, 90顆, 2罐",2,"綜合維他命活力飲+維他命錠組, 30入, 1盒",2
維他命,3,"台塑生醫 MD Formula 醫之方 緩釋B群雙層錠, 60顆, 1盒",2,"YUNGJIN PHARM 維他命C&維他命D錠, 100顆, 2盒",2,"加拿大維他命錠 85.08g, 60片, 1盒",2
維他命,4,"IMVITA 綜合維他命補充液+錠, 7瓶, 1盒",2,"維他命活力錠, 60顆, 1盒",2,"綜合維他命保健錠 25.8g, 30片, 1個",2
維他命,5,"Centrum 善存 女性綜合維他命, 120顆, 1盒",2,"維他命C保濕精華, 1瓶, 30ml",2,"綜合維他命 30入, 90克, 2盒",2
維他命,6,"Centrum 善存 男性綜合維他命, 120顆, 1盒",2,"維他命活力錠, 60顆, 2盒",2,"綜合維他命, 200ml, 1盒",2
維他命,7,"DHC 台灣公司貨 維他命C+B2 30日份, 60顆, 2包",2,"維他命村 Delicious Mega C 維他命 C 2000 維他命 D 3000 60p, 180g, 3個",2,"綜合維他命錠 1500mg, 30包, 2盒",2
維他命,8,"DHC 活力綜合維他命 30日份, 30顆, 2包",2,"esthemax 維他命面膜, 10入",2,"維他命C隨身包 120g, 60片, 1個",2
維他命,9,"Jen Sheng 人生製藥 渡邊維他命 C1000, 100顆, 1盒",2,"維他命C隨身包 120g, 60片, 1個",2,"CMG 綜合維他命保健錠, 60顆, 2個",2
